model,class,precision,recall,f1_score,support
Baseline,Home loss,0.0,0.0,0.0,685.0
Baseline,Draw,0.0,0.0,0.0,528.0
Baseline,Home win,0.47760551248923344,1.0,0.6464587583794812,1109.0
Logistic Regression,Home loss,0.5017985611510791,0.4072992700729927,0.44963738920225627,685.0
Logistic Regression,Draw,0.2,0.003787878787878788,0.007434944237918215,528.0
Logistic Regression,Home win,0.5421412300683371,0.8584310189359784,0.6645724258289704,1109.0
Decision Tree,Home loss,0.5572519083969466,0.3197080291970803,0.40630797773654914,685.0
Decision Tree,Draw,0.0,0.0,0.0,528.0
Decision Tree,Home win,0.5230689476412649,0.9098286744815148,0.6642527978933509,1109.0
Random Forest,Home loss,0.5122448979591837,0.36642335766423356,0.4272340425531915,685.0
Random Forest,Draw,0.0,0.0,0.0,528.0
Random Forest,Home win,0.5338427947598253,0.8818755635707844,0.6650799047942877,1109.0
Gradient Boosting,Home loss,0.4990990990990991,0.4043795620437956,0.4467741935483871,685.0
Gradient Boosting,Draw,0.0,0.0,0.0,528.0
Gradient Boosting,Home win,0.5390713476783692,0.8584310189359784,0.6622608695652173,1109.0
