model,class,precision,recall,f1_score,support
Baseline,Home loss,0.0,0.0,0.0,685.0
Baseline,Draw,0.0,0.0,0.0,528.0
Baseline,Home win,0.47760551248923344,1.0,0.6464587583794812,1109.0
Logistic Regression,Home loss,0.5377008652657602,0.635036496350365,0.5823293172690763,685.0
Logistic Regression,Draw,0.259567387687188,0.29545454545454547,0.2763507528786537,528.0
Logistic Regression,Home win,0.7050438596491229,0.5798016230838593,0.636318654131618,1109.0
Decision Tree,Home loss,0.49687108886107634,0.5795620437956205,0.5350404312668463,685.0
Decision Tree,Draw,0.25535714285714284,0.2708333333333333,0.26286764705882354,528.0
Decision Tree,Home win,0.6822429906542056,0.5924256086564472,0.6341698841698842,1109.0
Random Forest,Home loss,0.5308804204993429,0.5897810218978102,0.5587828492392808,685.0
Random Forest,Draw,0.26862745098039215,0.25946969696969696,0.26396917148362237,528.0
Random Forest,Home win,0.6841103710751665,0.648331830477908,0.6657407407407407,1109.0
Gradient Boosting,Home loss,0.5205655526992288,0.5912408759124088,0.5536568694463432,685.0
Gradient Boosting,Draw,0.27629233511586454,0.2935606060606061,0.2846648301193756,528.0
Gradient Boosting,Home win,0.6897253306205493,0.6113615870153292,0.6481835564053537,1109.0
